iter	Logloss	MAP	PrecisionAt:top=100
88	0.3419770111	0.3123925674	0.2737714887
89	0.3419699347	0.3124179146	0.2737822909
90	0.3419638787	0.3124110104	0.2737944105
91	0.3419589244	0.3124230697	0.2738330089
92	0.341952922	0.3124650743	0.2738858346
93	0.341948257	0.3124892027	0.2738853077
94	0.341943445	0.3125050574	0.2738818826
95	0.3419368135	0.3125261719	0.273888601
96	0.341929512	0.3125082604	0.2738806969
97	0.3419219546	0.312526041	0.2738965051
98	0.3419184285	0.312573411	0.2739241695
99	0.3419111747	0.3125751776	0.273930361
100	0.3419065073	0.3125770442	0.2739340496
101	0.3419027397	0.3126114396	0.2739495943
102	0.3418988908	0.3126192991	0.2739499895
103	0.3418914618	0.3126071855	0.2739254868
104	0.3418880392	0.3126205359	0.2739403729
105	0.3418802819	0.3126636138	0.2739804203
106	0.3418739303	0.3126716987	0.2740013662
107	0.3418687458	0.31269435	0.2740275814
108	0.3418639443	0.3127623541	0.2740408866
109	0.3418581016	0.3127664635	0.2740477369
110	0.3418529153	0.3127875819	0.2740560362
111	0.3418492623	0.3127807126	0.274053138
112	0.3418432728	0.3128230139	0.274083964
113	0.3418375294	0.3128286313	0.2740831736
114	0.3418312737	0.3128286313	0.2740831736
115	0.3418252819	0.312837068	0.2741020117
116	0.3418214335	0.3128739528	0.2740950297
117	0.341816276	0.3128837873	0.274121245
118	0.3418123909	0.3128971336	0.2741180833
119	0.3418072012	0.3129376408	0.2741404783
120	0.341803751	0.3129381855	0.2741790766
121	0.341797247	0.3129500743	0.274171436
122	0.3417921396	0.3129387378	0.2741607654
123	0.3417866874	0.3129495519	0.2741661666
124	0.3417817717	0.3129770488	0.2742070044
125	0.3417789809	0.3129980923	0.2742048966
126	0.3417732798	0.3130115611	0.274210166
127	0.341768697	0.3130144086	0.2742211
128	0.3417640695	0.3130376018	0.2742441537
129	0.3417605782	0.3130366592	0.2742490279
130	0.3417552842	0.3130617625	0.2742466566
131	0.3417516524	0.31308253	0.2742531116
132	0.3417478662	0.3130939216	0.2742540338
133	0.3417431507	0.3131028132	0.2742809077
134	0.341739209	0.3130972086	0.2742776143
135	0.3417363273	0.3130972086	0.2742776143
136	0.3417326715	0.3131073084	0.2742857819
137	0.3417280241	0.313123709	0.2742610157
138	0.3417249973	0.3131502577	0.2742944764
139	0.3417205012	0.3131589622	0.2742877579
140	0.341716143	0.3131624802	0.2742849915
141	0.3417120389	0.3132046907	0.2742896022
142	0.3417092846	0.313206132	0.2742982967
143	0.3416974611	0.3132102306	0.274300668
144	0.3416934307	0.3132228981	0.2743054104
145	0.3416889051	0.3132343478	0.2742955303
146	0.341683905	0.3132450032	0.2743275419
147	0.3416806318	0.3132485186	0.2743341286
148	0.3416760591	0.3132401132	0.2743358412
149	0.3416712091	0.3132490027	0.2743400567
150	0.3416668615	0.3132494262	0.274345853
151	0.3416642626	0.313247979	0.2743476973
152	0.3416607808	0.3132651866	0.274368248
153	0.3416562582	0.3132819015	0.2743798407
154	0.3416485696	0.3133040798	0.2743951219
155	0.3416461997	0.3133125332	0.2743951219
156	0.3416418341	0.3133361306	0.2744196246
157	0.3416382415	0.3133340831	0.274422918
158	0.3416346819	0.3133442854	0.2744297682
159	0.3416324906	0.3133564127	0.2744330616
160	0.341629634	0.3133659843	0.2744474207
161	0.3416256568	0.3133853824	0.274462175
162	0.341621078	0.3134182733	0.2744656001
163	0.3416173947	0.3133974964	0.2744682348
164	0.3416144377	0.3133930773	0.2744889172
165	0.3416118104	0.3133977296	0.2744883903
166	0.3416092824	0.313399346	0.2744770611
167	0.3416068509	0.3134126614	0.274488522
168	0.3416042463	0.3134374202	0.2745060427
169	0.3416018887	0.3134694163	0.2745223779
170	0.3415987101	0.3134818753	0.2744899711
171	0.3415959499	0.313486737	0.2744889172
172	0.3415917953	0.3134887805	0.2744907615
173	0.3415891246	0.3134897472	0.2745135516
174	0.3415850131	0.3134869076	0.2745106535
175	0.3415826096	0.3134941525	0.2745446411
176	0.3415779981	0.3135093934	0.2745458267
177	0.3415749491	0.3135265226	0.2745503057
178	0.3415730065	0.3135390556	0.2745579463
179	0.3415706667	0.3135614116	0.2745749401
180	0.3415667798	0.3135442382	0.2745632157
181	0.3415566706	0.313563658	0.2745704611
182	0.3415545923	0.3135659289	0.2745612397
183	0.3415521925	0.3135565985	0.2745661139
184	0.3415497188	0.3135577419	0.2745791556
185	0.341547004	0.3135779546	0.2745791556
186	0.3415445192	0.3135880463	0.2745658504
187	0.3415423304	0.3136013255	0.2745899579
188	0.3415400677	0.3136076458	0.274599838
189	0.3415375434	0.3136010198	0.2745845568
190	0.3415359434	0.3136319887	0.2745820538
191	0.3415321711	0.3136445603	0.2746002332
192	0.3415303177	0.3136437164	0.2746014188
193	0.3415273309	0.3136578454	0.2745891675
194	0.3415253405	0.3136677902	0.2745994428
195	0.3415223428	0.3136557812	0.2746193348
196	0.3415207382	0.3136682524	0.2746136702
197	0.3415180595	0.3136621584	0.2746188079
198	0.3415154496	0.3136816834	0.2746249994
199	0.3415123912	0.3136936106	0.2746356699
